schema_id	data_value	abbr_text	full_text
400112	FO:MET	METEOR	FORD:METEOR
400112	FO:MOD	MONDEO	FORD:MONDEO
400112	FO:MOM	MONDEO METROSTAR	FORD:MONDEO METROSTAR
400112	FO:MON	MONARCH	FORD:MONARCH
400112	FO:MUL	MULTIVAN	FORD:MULTIVAN
400112	FO:MUS	MUSTANG	FORD:MUSTANG
400112	FO:MYS	MYSTIQUE	FORD:MYSTIQUE
400112	FO:NSE	N SERIES	FORD:N SERIES
400112	FO:OCU	FOCUS CC	FORD:FOCUS CC
400112	FO:OMN	OMNIBUS	FORD:OMNIBUS
400112	FO:ORI	ORION	FORD:ORION
400112	FO:P00	P	FORD:P
400112	FO:P10	P100	FORD:P100
400112	FO:P11	P-100	FORD:P-100
400112	FO:P35	P-350	FORD:P-350
400112	FO:PAM	PAMPA	FORD:PAMPA
400112	FO:PIN	PINTO	FORD:PINTO
400112	FO:PRN	PRONTO	FORD:PRONTO
400112	FO:PRO	PROBE	FORD:PROBE
400112	FO:PRZ	P-RZ	FORD:P-RZ
400112	FO:PUM	PUMA	FORD:PUMA
400112	FO:RAH	RANGER HERITAGE	FORD:RANGER HERITAGE
400112	FO:RAI	RAIDER	FORD:RAIDER
400112	FO:RAN	RANGER	FORD:RANGER
400112	FO:REE	FREESTAR VAN	FORD:FREESTAR VAN
400112	FO:REV	RANGER EV	FORD:RANGER EV
400112	FO:RNC	RANCHERO	FORD:RANCHERO
400112	FO:ROY	ROYALE	FORD:ROYALE
400112	FO:RS2	RS200	FORD:RS200
400112	FO:SCO	SCORPIO	FORD:SCORPIO
400112	FO:SIE	SIERRA	FORD:SIERRA
400112	FO:SKA	STREETKA	FORD:STREETKA
400112	FO:S-M	S-MAX	FORD:S-MAX
400112	FO:SPE	SPECTRON	FORD:SPECTRON
400112	FO:SUP	SUPERCAB	FORD:SUPERCAB
400112	FO:T5X	TX-5	FORD:TX-5
400112	FO:TAN	TAUNUS	FORD:TAUNUS
400112	FO:TAU	TAURUS	FORD:TAURUS
400112	FO:TCO	TRANSIT CONNECT	FORD:TRANSIT CONNECT
400112	FO:TCR	TOURNEO COURIER	FORD:TOURNEO COURIER
400112	FO:TE2	TELSTAR II	FORD:TELSTAR II
400112	FO:TEL	TELSTAR	FORD:TELSTAR
400112	FO:TEM	TEMPO	FORD:TEMPO
400112	FO:TER	TERRITORY	FORD:TERRITORY
400112	FO:THU	THUNDERBIRD	FORD:THUNDERBIRD
400112	FO:TIA	TIERRA ACTIVA	FORD:TIERRA ACTIVA
400112	FO:TIE	TIERRA	FORD:TIERRA
400112	FO:TNO	GRAND TOURNEO CUSTOM	FORD:GRAND TOURNEO CUSTOM
400112	FO:TOC	TOURNEO CONNECT	FORD:TOURNEO CONNECT
400112	FO:TOP	TOPAZ	FORD:TOPAZ
400112	FO:TOR	TORINO	FORD:TORINO
400112	FO:TOU	TOURNEO	FORD:TOURNEO
400112	FO:TR1	TRANSCAR	FORD:TRANSCAR
400112	FO:TRA	TRANSIT	FORD:TRANSIT
400112	FO:TRC	TRACER	FORD:TRACER
400112	FO:TRD	TRADER	FORD:TRADER
400112	FO:TRF	TRAFER	FORD:TRAFER
400112	FO:TRI	TRITON	FORD:TRITON
400112	FO:TSE	T-SERIES	FORD:T-SERIES
400112	FO:TTC	TRANSIT COURIER	FORD:TRANSIT COURIER
400112	FO:TX5	TX5	FORD:TX5
400112	FO:UTI	UTILITY	FORD:UTILITY
400112	FO:VER	VERONA	FORD:VERONA
400112	FO:VIL	VILLAGER	FORD:VILLAGER
400112	FO:VIV	VIVID	FORD:VIVID
400112	FO:VRS	VERSAILLES	FORD:VERSAILLES
400112	FO:WIN	WINDSTAR	FORD:WINDSTAR
400112	FO:WIV	WINDSTAR VAN	FORD:WINDSTAR VAN
400112	FO:XPE	EXPEDITION EL	FORD:EXPEDITION EL
400112	FO:XPL	EXPLORER SPORT	FORD:EXPLORER SPORT
